time,polarization
05:36.9,54.1898
05:38.0,54.4448
05:39.0,54.4865
05:40.0,53.6227
05:41.1,54.492
05:42.1,55.3607
05:43.1,53.888
05:44.2,54.4438
05:45.2,54.9782
05:46.2,54.6029
05:47.3,55.5003
05:48.3,54.3763
05:49.4,52.8194
05:50.4,54.0257
05:51.5,54.0917
05:52.5,54.3503
05:53.6,54.4401
05:54.6,54.6988
05:55.7,55.339
05:56.7,53.8774
05:57.8,54.2808
05:58.8,55.7734
05:59.9,54.8294
06:00.9,53.8142
06:02.0,54.7511
06:03.0,53.8331
06:04.1,54.0212
06:05.1,54.8085
06:06.2,53.5017
06:07.2,55.535
06:08.2,54.359
06:09.3,55.1797
06:10.3,53.9118
06:11.4,54.7919
06:12.5,54.2819
06:13.5,55.0169
06:14.6,54.6511
06:15.6,55.2664
06:16.7,54.3672
06:17.7,54.907
06:18.8,55.0091
06:19.8,55.68
06:20.9,55.0483
06:21.9,54.1855
06:23.0,54.5252
06:24.0,54.4215
06:25.0,54.7322
06:26.1,55.1097
06:27.1,54.3529
06:28.2,54.473
06:29.2,55.5561
06:30.3,55.6709
06:31.3,53.6985
06:32.4,55.5273
06:33.4,55.046
06:34.5,55.7507
06:35.5,54.7223
06:36.6,53.8475
06:37.6,54.9328
06:38.7,54.9571
06:39.7,55.8425
06:40.8,56.3316
06:41.9,54.1377
06:42.9,55.0755
06:44.0,54.9634
06:45.0,79.3554
06:46.1,57.5073
06:47.3,53.4734
06:48.4,54.2697
06:49.4,54.3378
06:50.5,52.6884
06:51.5,51.8513
06:52.6,52.6865
06:53.6,51.8382
06:54.7,50.793
06:55.7,51.8923
06:56.8,50.4351
06:57.8,50.7232
06:58.9,49.7159
06:59.9,48.9412
07:01.0,49.1946
07:02.0,49.2071
07:03.1,48.4423
07:04.1,49.3952
07:05.2,49.1156
07:06.2,47.9828
07:07.3,47.6172
07:08.3,47.3177
07:09.4,46.9783
07:10.4,46.4173
07:11.5,46.0602
07:12.5,45.1542
07:13.6,44.6743
07:14.6,45.0007
07:15.7,44.4785
07:16.8,44.6114
07:17.8,44.178
07:18.8,44.4181
07:19.9,43.8914
07:20.9,43.9202
07:22.0,41.7851
07:23.0,42.3397
07:24.1,42.3838
07:25.1,43.1937
07:26.2,41.4718
07:27.2,41.3653
07:28.3,40.9658
07:29.3,41.5158
07:30.4,38.9087
07:31.4,40.1209
07:32.5,40.2638
07:33.5,40.626
07:34.6,38.6173
07:35.6,39.3547
07:36.7,38.5602
07:37.7,37.4164
07:38.8,37.7401
07:39.8,37.8476
07:40.9,37.3824
07:41.9,36.2214
07:43.0,36.5918
07:44.0,36.6668
07:45.1,36.7742
07:46.1,36.34
07:47.2,36.8488
07:48.2,36.0587
07:49.3,36.2324
07:50.3,36.1987
07:51.4,34.4752
07:52.4,35.7985
07:53.5,35.2745
07:54.5,35.0711
07:55.6,34.7861
07:56.6,33.7643
07:57.7,34.0131
07:58.7,34.6005
07:59.8,32.8942
08:00.8,32.677
08:01.9,33.1161
08:02.9,33.9054
08:04.0,32.1992
08:05.0,31.4068
08:06.1,32.0493
08:07.1,31.9622
08:08.2,32.2342
08:09.2,31.0044
08:10.3,30.633
08:11.3,30.3566
08:12.4,30.2504
08:13.4,30.3644
08:14.5,29.562
08:15.5,30.3404
08:16.6,29.8042
08:17.6,30.5992
08:18.7,29.0429
08:19.7,30.0006
08:20.8,28.7834
08:21.8,29.0373
08:22.9,28.3288
08:23.9,28.4239
08:25.0,29.1611
08:26.0,29.4974
08:27.0,28.3931
08:28.1,27.8912
08:29.1,27.3886
08:30.2,27.1271
08:31.2,26.9274
08:32.3,26.807
08:33.3,26.1671
08:34.4,26.4216
08:35.4,26.8417
08:36.5,26.7425
08:37.5,25.6907
08:38.6,26.2542
08:39.6,25.5251
08:40.7,26.0674
08:41.7,25.6567
08:42.8,24.8542
08:43.8,24.6835
08:44.9,25.1413
08:45.9,24.5529
08:47.0,24.5293
08:48.0,23.3133
08:49.1,24.1301
08:50.1,23.8815
08:51.2,24.5979
08:52.2,24.4999
08:53.3,24.3182
08:54.3,22.4864
08:55.4,23.5762
08:56.4,22.356
08:57.5,23.1651
08:58.6,23.9907
08:59.6,22.7347
09:00.7,21.9413
09:01.7,22.3305
09:02.8,22.4266
09:03.8,22.2601
09:04.9,22.1927
09:05.9,23.0928
09:07.0,21.3292
09:08.0,22.465
09:09.1,21.3892
09:10.1,20.9028
09:11.2,21.8938
09:12.2,20.2321
09:13.3,20.6087
09:14.3,22.0223
09:15.4,20.1609
09:16.4,20.0904
09:17.5,19.6087
09:18.5,20.67
09:19.6,20.1904
09:20.6,19.6573
09:21.7,19.818
09:22.7,19.573
09:23.8,20.7755
09:24.8,18.7633
09:25.9,19.728
09:26.9,19.7318
09:28.0,19.7824
09:29.0,19.8024
09:30.1,18.3215
09:31.1,19.1257
09:32.2,18.0646
09:33.2,18.5996
09:34.3,18.1119
09:35.4,18.8289
09:36.4,17.3038
09:37.4,18.0867
09:38.5,18.8557
09:39.6,17.6262
09:40.6,16.6846
09:41.6,17.4143
09:42.7,17.8268
09:43.7,17.1869
09:44.8,17.9342
09:45.8,16.6194
09:46.9,17.4434
09:47.9,17.7189
09:49.0,16.9036
09:50.0,16.8958
09:51.1,17.3917
09:52.1,16.4697
09:53.2,17.2711
09:54.2,16.4481
09:55.3,16.7404
09:56.3,16.5131
09:57.4,14.8887
09:58.4,15.2672
09:59.5,14.9309
10:00.5,14.9885
10:01.5,15.7113
10:02.6,15.7675
10:03.6,14.8138
10:04.7,16.5751
10:05.7,15.2122
10:06.8,14.7314
10:07.8,15.8459
10:08.9,15.2527
10:09.9,15.4545
10:11.0,13.9029
10:12.0,13.8077
10:13.1,14.9915
10:14.1,14.3407
10:15.2,14.5723
10:16.2,13.3599
10:17.3,13.5977
10:18.3,13.7513
10:19.4,13.5195
10:20.4,14.5052
10:21.5,13.2625
10:22.5,14.1732
10:23.6,14.2644
10:24.6,13.887
10:25.7,14.5767
10:26.7,13.5069
10:27.8,13.8299
10:28.8,13.7818
10:29.9,11.7966
10:30.9,12.9815
10:32.0,12.2224
10:33.0,13.0003
10:34.1,13.0603
10:35.1,12.0358
10:36.2,11.9959
10:37.2,11.9008
10:38.3,13.0577
10:39.3,12.4783
10:40.3,11.6019
10:41.4,12.5005
10:42.4,12.1629
10:43.5,11.4604
10:44.5,11.5211
10:45.6,12.2052
10:46.6,12.4031
10:47.7,11.1046
10:48.7,11.0175
10:49.8,12.4572
10:50.8,11.9208
10:51.9,12.0484
10:52.9,12.4239
10:54.0,10.6283
10:55.0,11.7936
10:56.1,10.2175
10:57.1,12.2185
10:58.2,11.2478
10:59.2,10.8042
11:00.3,11.435
11:01.3,11.3994
11:02.4,10.6376
11:03.4,10.9829
11:04.5,9.87377
11:05.5,10.292
11:06.6,11.5962
11:07.6,10.9522
11:08.7,10.2718
11:09.7,10.2039
11:10.8,9.99206
11:11.8,10.0397
11:12.9,10.5766
11:13.9,10.2948
11:15.0,10.4748
11:16.0,10.22
11:17.1,10.4153
11:18.2,9.32321
11:19.2,10.3614
11:20.2,9.81844
11:21.3,9.47447
11:22.4,9.57049
11:23.4,11.0094
11:24.5,9.53842
11:25.5,9.06173
11:26.6,10.1075
11:27.6,11.3361
11:28.7,9.92028
11:29.7,10.1657
11:30.8,8.84744
11:31.8,9.12554
11:32.9,10.0574
11:33.9,9.75357
11:35.0,8.93186
11:36.0,9.97104
11:37.1,9.45124
11:38.1,9.78518
11:39.2,9.52819
11:40.2,9.1765
11:41.3,8.48939
11:42.3,9.55034
11:43.4,8.98168
11:44.4,9.34433
11:45.5,9.18868
11:46.5,8.10868
11:47.6,7.81002
11:48.6,9.27953
11:49.7,8.94721
11:50.7,7.45714
11:51.8,8.98447
11:52.8,7.407
11:53.9,7.64013
11:54.9,9.03322
11:56.0,8.26267
11:57.0,7.84211
11:58.1,7.15168
11:59.1,9.30239
12:00.2,8.26982
12:01.2,7.19704
12:02.3,7.94272
12:03.3,9.36035
12:04.4,7.53954
12:05.4,9.43446
12:06.5,8.42934
12:07.5,7.74664
12:08.6,7.85347
12:09.6,6.74395
12:10.7,7.51565
12:11.7,8.07858
12:12.8,7.43863
12:13.8,8.23963
12:14.9,8.6119
12:15.9,7.7623
12:16.9,8.07569
12:18.0,7.99648
12:19.1,8.33564
12:20.1,7.81248
12:21.2,7.86036
12:22.2,6.21682
12:23.3,7.17171
12:24.3,6.91001
12:25.4,6.93285
12:26.4,8.704
12:27.5,6.98459
12:28.5,7.65506
12:29.6,7.74117
12:30.6,7.01126
12:31.7,6.57467
12:32.7,6.89284
12:33.8,7.5403
12:34.8,5.54107
12:35.9,7.17249
12:36.9,6.64902
12:38.0,6.93278
12:39.0,7.46116
12:40.1,6.94311
12:41.1,7.92734
12:42.2,6.93754
12:43.2,6.76632
12:44.3,6.49519
12:45.3,6.81701
12:46.4,6.87914
12:47.5,5.96434
12:48.5,5.35474
12:49.5,4.80177
12:50.6,6.96366
12:51.7,6.9414
12:52.7,7.2026
12:53.8,6.84114
12:54.8,6.03306
12:55.9,6.66944
12:56.9,6.9353
12:58.0,6.59909
12:59.0,4.91304
13:00.1,5.70526
13:01.1,6.04446
13:02.2,6.38168
13:03.2,5.64584
13:04.3,5.72404
13:05.3,7.18938
13:06.4,6.1013
13:07.4,6.35667
13:08.5,6.30431
13:09.5,5.43183
13:10.6,4.94529
13:11.6,6.01544
13:12.7,6.98565
13:13.7,7.2268
13:14.8,7.32779
13:15.8,6.69213
13:16.9,6.86891
13:17.9,5.45696
13:19.0,6.55324
13:20.0,6.28155
13:21.1,6.70445
13:22.1,5.83612
13:23.2,5.25854
13:24.2,5.77455
13:25.3,7.23407
13:26.4,6.34559
13:27.4,5.32682
13:28.5,5.03851
13:29.5,5.20708
13:30.6,4.84714
13:31.6,5.33078
13:32.7,5.60772
13:33.7,5.46724
13:34.8,6.72065
13:35.8,5.20917
13:36.9,4.41312
13:37.9,5.67178
13:39.0,6.2129
13:40.0,5.30274
13:41.1,6.09501
13:42.1,5.33226
13:43.2,5.84302
13:44.2,5.78481
13:45.3,6.64762
13:46.3,5.40779
13:47.4,6.2958
13:48.4,5.58003
13:49.5,5.08272
13:50.5,4.90224
13:51.6,5.65562
13:52.6,4.09822
13:53.7,5.39731
13:54.7,5.80516
13:55.8,5.44831
13:56.8,4.39385
13:57.9,5.45424
13:58.9,5.23327
14:00.0,5.69617
14:01.0,5.55457
14:02.1,6.38227
14:03.1,5.1608
14:04.2,5.5306
14:05.2,5.21911
14:06.2,5.09036
14:07.3,5.72766
14:08.3,4.21486
14:09.4,5.58973
14:10.4,4.55005
14:11.5,5.18467
14:12.5,5.70957
14:13.6,5.77539
14:14.6,4.65764
14:15.7,5.4968
14:16.7,4.83811
14:17.8,4.37521
14:18.8,5.58795
14:19.9,6.17846
14:20.9,6.20875
14:22.0,3.61954
14:23.0,4.57034
14:24.1,5.49612
14:25.1,4.40152
14:26.2,4.22327
14:27.2,5.31272
14:28.3,3.79966
14:29.3,6.41554
14:30.4,4.58199
14:31.4,4.97057
14:32.5,5.21476
14:33.5,5.04263
14:34.6,4.08429
14:35.6,4.95702
14:36.7,6.01019
14:37.7,5.61958
14:38.8,3.33592
14:39.8,5.27461
14:40.9,4.13054
14:41.9,5.30864
14:42.9,4.03434
14:44.0,4.9392
14:45.1,4.28646
14:46.1,5.2426
14:47.2,4.68048
14:48.2,5.95281
14:49.3,4.65683
14:50.3,5.40693
14:51.4,4.90883
14:52.4,4.32469
14:53.5,4.41536
14:54.5,4.66127
14:55.6,5.30901
14:56.6,4.86724
14:57.7,5.49232
14:58.7,4.80517
14:59.8,5.23012
15:00.8,5.24131
15:01.9,4.52038
15:02.9,4.27391
15:04.0,4.53285
15:05.0,4.29156
15:06.1,4.77412
15:07.1,5.0039
15:08.2,4.20997
15:09.2,4.85596
15:10.3,5.16822
15:11.3,4.26929
15:12.4,4.37014
15:13.4,4.07277
15:14.5,4.10262
15:15.5,5.26966
15:16.6,3.96822
15:17.6,4.7578
15:18.7,3.06249
15:19.7,4.4107
15:20.8,4.01688
15:21.8,4.10603
15:22.9,3.9291
15:23.9,4.17035
15:25.0,4.55989
15:26.0,3.35013
15:27.1,4.30658
15:28.1,4.01024
15:29.2,4.42135
15:30.2,4.20857
15:31.3,5.02652
15:32.3,4.34904
15:33.4,3.9437
15:34.4,4.59765
15:35.5,4.67793
15:36.6,3.74368
15:37.6,4.02522
15:38.7,4.32799
15:39.7,3.70042
15:40.8,4.54135
15:41.8,4.38419
15:42.9,5.2782
15:43.9,3.44701
15:45.0,4.41565
15:46.0,3.61217
15:47.1,5.01628
15:48.1,4.81144
15:49.2,4.19391
15:50.2,3.49721
15:51.3,4.57278
15:52.3,3.73003
15:53.4,4.08004
15:54.4,4.55386
15:55.5,4.07287
15:56.5,3.5852
15:57.6,2.72069
15:58.6,4.61189
15:59.7,3.43759
16:00.7,3.33748
16:01.8,4.18044
16:02.8,4.51575
16:03.9,3.63605
16:04.9,4.24559
16:05.9,2.75857
16:07.0,3.46433
16:08.0,3.69167
16:09.1,3.95622
16:10.1,3.37248
16:11.2,3.57154
16:12.2,4.59445
16:13.3,3.93356
16:14.3,3.65299
16:15.4,4.65557
16:16.4,4.36816
16:17.5,3.2327
16:18.5,3.37563
16:19.6,4.62759
16:20.6,4.07611
16:21.7,3.96223
16:22.7,5.06992
16:23.8,4.08646
16:24.8,3.97297
16:25.9,5.16509
16:26.9,4.31303
16:28.0,3.22584
16:29.0,4.16295
16:30.0,4.12281
16:31.1,3.74912
16:32.1,5.43552
16:33.2,3.31687
16:34.2,3.70843
16:35.3,4.15718
16:36.3,3.6288
16:37.4,4.0634
