filename,power,cell,datagrab,ic_range_min,ic_range_max,bu_range_min,bu_range_max,pl_range_min,pl_range_max,dc_range_min,dc_range_max,P_init_const,P_init_const_err,ic_chi2,ic_ndf,ic_chi2_ndf,P_inf,P_inf_err,P_int,P_int_err,tau_b,tau_b_err,t_offset,t_offset_err,P_offset,P_offset_err,bu_chi2,bu_ndf,bu_chi2_ndf,P_plateau,P_plateau_err,pl_chi2,pl_ndf,pl_chi2_ndf,P0,P0_err,tau,tau_err,c,c_err,t_offset_decay,t_offset_decay_err,dc_chi2,dc_ndf,dc_chi2_ndf
4W_C9_datagrab1,4W,C9,datagrab1,0.000000,123.800000,155.000000,279.100000,231.100000,329.100000,433.200000,821.900000,5.424879,0.098468,133.861886,117,1.144119,61.624793,0.832881,10.664108,2.395395,21.554146,0.244131,157.423967,1.013539,5.103267,0.831632,59.052547,113,0.522589,66.874837,0.090427,69.962542,92,0.760462,62.021460,0.899324,98.252752,0.421085,2.495036,0.064214,431.883932,1.424655,90.717292,367,0.247186
4W_C9_datagrab2,4W,C9,datagrab2,0.000000,68.800000,118.900000,242.000000,194.000000,283.400000,393.400000,821.100000,3.819310,0.076819,24.548681,64,0.383573,60.950187,0.835330,11.705097,2.432367,21.146800,0.251050,121.262232,1.044905,5.305578,0.834121,58.504884,112,0.522365,66.565815,0.110049,86.470771,84,1.029414,56.489464,0.902809,99.314633,0.432847,2.325872,0.055943,392.400976,1.587177,102.688674,405,0.253552
4W_C9_datagrab3,4W,C9,datagrab3,0.000000,44.400000,74.500000,199.700000,151.700000,389.000000,430.000000,882.900000,3.244672,0.090282,14.035592,41,0.342332,62.346168,0.700173,8.376526,1.980421,22.162749,0.189739,77.197156,0.813496,4.686423,0.699078,42.197284,114,0.370152,67.039856,0.050869,131.584016,225,0.584818,57.692621,0.880967,98.343117,0.389969,2.500240,0.049086,428.816580,1.501653,100.228232,427,0.234727
5W_C8_datagrab1,5W,C8,datagrab1,0.000000,10.300000,58.400000,155.100000,107.100000,296.900000,345.900000,754.500000,3.682313,0.121770,1.334505,9,0.148278,50.955692,1.271046,7.547307,4.018410,12.708945,0.227981,60.607647,1.177293,4.563543,1.270039,79.123667,87,0.909467,55.208432,0.040441,52.695262,179,0.294387,51.641186,0.889467,102.234785,0.515536,3.022877,0.062136,343.614750,1.760856,95.622983,385,0.248371
5W_C8_datagrab2,5W,C8,datagrab2,0.000000,73.900000,108.000000,205.600000,235.600000,316.900000,339.900000,753.700000,4.119611,0.061683,18.377366,69,0.266339,49.594408,0.924691,13.958057,2.733191,12.122232,0.179914,111.203992,0.930336,5.791684,0.923949,40.879784,88,0.464543,55.376174,0.056002,18.835882,77,0.244622,45.373917,0.875755,102.226501,0.569528,3.011196,0.059574,337.351349,1.972989,94.077704,391,0.240608
5W_C8_datagrab3,5W,C8,datagrab3,0.000000,82.300000,112.500000,203.900000,155.900000,276.100000,340.100000,754.200000,3.892826,0.057993,20.199357,77,0.262329,49.533938,0.843848,12.815140,2.512155,11.569824,0.152049,115.400530,0.792036,5.728023,0.843162,29.919549,82,0.364873,55.236560,0.051944,34.757335,113,0.307587,52.074495,0.853313,102.680379,0.489684,2.944459,0.058614,337.902727,1.682511,89.619863,391,0.229207
5W_C9_datagrab1,5W,C9,datagrab1,0.000000,67.200000,101.200000,228.500000,180.500000,270.300000,376.300000,928.100000,3.742292,0.067912,19.185849,64,0.299779,63.146989,0.828758,12.933502,2.483915,20.007741,0.225335,103.996413,0.990113,5.737432,0.827788,61.011505,116,0.525961,69.141837,0.083057,50.427647,85,0.593266,58.791645,0.915199,103.489672,0.374076,2.980791,0.040902,375.398095,1.610919,137.835589,522,0.264053
5W_C9_datagrab2,5W,C9,datagrab2,0.000000,21.100000,80.000000,204.400000,156.400000,385.200000,408.300000,928.400000,3.237416,0.094559,3.755427,20,0.187771,62.803235,0.797696,13.713108,2.284364,22.439423,0.256160,82.502411,1.044570,6.272678,0.796393,54.531579,113,0.482580,68.971897,0.044209,92.456476,217,0.426067,57.853792,0.808598,104.067763,0.354842,2.831373,0.039657,407.555318,1.454461,102.504209,493,0.207919
5W_C9_datagrab3,5W,C9,datagrab3,0.000000,15.100000,49.800000,178.500000,130.500000,417.000000,437.000000,928.400000,3.308685,0.117053,2.877317,14,0.205523,62.931244,0.853364,10.241406,2.494840,22.191464,0.252326,52.460396,1.051160,5.144329,0.852126,66.699403,117,0.570080,68.182658,0.036409,98.433270,272,0.361887,58.261379,0.896477,103.952745,0.405586,2.853593,0.047350,435.659918,1.599477,118.486487,468,0.253176
6W_C8_datagrab1,6W,C8,datagrab1,0.000000,123.600000,154.700000,248.100000,200.100000,356.400000,376.400000,752.900000,5.529706,0.099286,136.094741,117,1.163203,51.023559,1.163105,12.458351,3.400972,12.160367,0.205957,157.721122,1.073239,5.576154,1.162102,59.568410,84,0.709148,56.431903,0.043022,41.368139,149,0.277639,47.361134,0.893317,101.230814,0.600558,2.965835,0.070964,374.353490,1.909346,88.419332,355,0.249069
6W_C8_datagrab2,6W,C8,datagrab2,0.000000,93.100000,123.300000,221.700000,173.700000,348.000000,364.000000,754.400000,4.008120,0.051050,20.411335,88,0.231947,51.124607,1.032541,11.649900,3.119101,12.455911,0.189309,126.147435,0.984812,5.352420,1.031714,52.897211,89,0.594351,56.438763,0.040423,45.297801,166,0.272878,51.023176,0.852414,101.588475,0.517825,2.895121,0.063999,362.003753,1.697132,83.725638,368,0.227515
6W_C8_datagrab3,6W,C8,datagrab3,0.000000,91.900000,122.100000,215.800000,167.800000,350.300000,370.300000,753.300000,3.955207,0.060226,27.769387,87,0.319188,51.380754,1.027481,10.742608,3.021868,13.044735,0.193229,124.946463,0.970587,5.208155,1.026499,47.598897,84,0.566654,56.374736,0.042822,55.199297,173,0.319071,47.578608,0.865485,101.210442,0.570903,2.859894,0.066728,368.202567,1.841020,83.760069,360,0.232667
6W_C9_datagrab1,6W,C9,datagrab1,0.000000,9.700000,69.600000,181.900000,133.900000,232.900000,329.900000,732.300000,4.158608,0.107046,1.031290,9,0.114588,64.591751,0.718140,13.519436,2.138853,17.225626,0.156914,72.372997,0.721624,6.357114,0.717331,35.209713,102,0.345193,71.124250,0.086480,65.380135,93,0.703012,60.958261,0.855110,102.123188,0.425796,2.714698,0.061701,328.640786,1.432533,87.913938,379,0.231963
